"T", "COND2G", "UORTHO1", "VORTHO1", "SVDRES1"
"S", 2.123650870081543433668577550958523674E+0079, 2.582451901112825143512866901875819346E-0007, 2.582451901112825143512866901875819346E-0007, 2.848926871582938124580590460708055454E-0007
"s", 5.428154025240761176631660655957271859E+0079, 2.571159243477425976596888789386062091E-0007, 2.582451901112825143512866901875819346E-0007, 2.953727182848979487486456811267013500E-0007
"D", 2.863687983113975522132349121751601484E+0616, 4.764240405197576245963905344023339948E-0016, 4.790201948528252370484030309211172475E-0016, 4.731617188893363481456303204605413367E-0016
"d", 1.945614443568911351935334846290676615E+0615, 4.796735915841666050411893775783224883E-0016, 4.780931433315110439906989991075103829E-0016, 5.280227096923662824878895508132918356E-0016
